"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2016","48,72","48,50","48,77","48,22","4,67M","0,19%"
"29.12.2016","48,63","48,48","48,86","48,35","2,88M","-0,18%"
"28.12.2016","48,72","48,23","48,88","48,23","3,45M","0,70%"
"27.12.2016","48,38","48,38","48,50","48,17","1,97M","0,04%"
"23.12.2016","48,36","48,05","48,47","48,04","3,46M","0,35%"
"22.12.2016","48,19","47,56","48,19","47,45","5,71M","1,26%"
"21.12.2016","47,59","47,36","47,80","47,35","4,20M","-1,41%"
"20.12.2016","48,27","47,60","48,50","47,52","5,56M","0,77%"
"19.12.2016","47,90","48,02","48,20","47,78","4,52M","-0,64%"
"16.12.2016","48,21","47,62","48,48","47,54","18,70M","1,52%"
"15.12.2016","47,49","47,09","47,73","46,84","8,96M","0,81%"
"14.12.2016","47,11","47,12","47,55","46,91","7,58M","-0,67%"
"13.12.2016","47,43","46,77","47,43","46,62","6,19M","0,94%"
"12.12.2016","46,99","46,87","47,49","46,87","7,56M","1,23%"
"09.12.2016","46,42","45,93","46,62","45,79","6,64M","1,11%"
"08.12.2016","45,91","45,70","46,26","45,45","7,18M","0,35%"
"07.12.2016","45,75","45,42","45,75","45,24","7,57M","1,46%"
"06.12.2016","45,09","44,34","45,12","44,11","6,49M","0,31%"
"05.12.2016","44,95","44,40","45,27","44,40","5,42M","0,09%"
"02.12.2016","44,91","44,50","45,12","44,20","6,33M","-0,33%"
"01.12.2016","45,06","44,95","45,40","44,40","8,83M","0,24%"
"30.11.2016","44,95","43,50","45,41","43,50","12,22M","2,35%"
"29.11.2016","43,92","43,63","44,01","43,42","5,32M","-0,25%"
"28.11.2016","44,03","43,70","44,14","43,36","5,83M","-0,16%"
"25.11.2016","44,10","44,07","44,19","43,80","3,53M","0,02%"
"24.11.2016","44,09","44,01","44,27","43,91","2,35M","0,09%"
"23.11.2016","44,05","44,27","44,57","43,85","4,72M","-0,25%"
"22.11.2016","44,16","44,33","44,70","44,06","5,20M","0,36%"
"21.11.2016","44,00","43,44","44,22","43,09","5,65M","2,04%"
"18.11.2016","43,12","43,52","43,68","42,93","4,93M","-1,28%"
"17.11.2016","43,68","43,16","43,88","42,97","4,38M","0,71%"
"16.11.2016","43,37","43,98","44,00","43,19","4,79M","-0,34%"
"15.11.2016","43,52","42,70","43,63","42,69","6,24M","3,23%"
"14.11.2016","42,16","42,83","42,92","41,85","5,13M","-0,68%"
"11.11.2016","42,45","43,71","43,76","42,20","6,82M","-2,62%"
"10.11.2016","43,59","43,83","44,23","43,20","5,79M","0,23%"
"09.11.2016","43,49","41,90","43,49","41,87","8,18M","0,67%"
"08.11.2016","43,20","42,98","43,31","42,72","3,49M","0,75%"
"07.11.2016","42,88","42,89","43,02","42,53","4,26M","1,80%"
"04.11.2016","42,12","42,17","42,27","41,83","5,27M","-0,47%"
"03.11.2016","42,32","42,10","42,78","42,02","5,05M","-0,19%"
"02.11.2016","42,40","43,10","43,23","42,38","5,15M","-2,01%"
"01.11.2016","43,27","44,05","44,15","43,13","5,99M","-1,03%"
"31.10.2016","43,72","44,10","44,24","43,51","5,45M","-1,53%"
"28.10.2016","44,40","43,81","44,50","43,61","4,97M","-0,36%"
"27.10.2016","44,56","44,00","44,60","43,76","4,33M","1,23%"
"26.10.2016","44,02","44,20","44,20","43,52","4,07M","-0,99%"
"25.10.2016","44,46","44,37","44,82","44,30","3,95M","0,25%"
"24.10.2016","44,35","44,51","44,84","44,28","4,50M","0,07%"
"21.10.2016","44,32","44,46","44,58","43,92","5,75M","-0,31%"
"20.10.2016","44,46","44,33","44,74","44,10","5,55M","0,68%"
"19.10.2016","44,16","44,09","44,28","43,81","4,25M","0,30%"
"18.10.2016","44,03","44,03","44,27","43,88","5,50M","0,99%"
"17.10.2016","43,60","43,85","43,90","43,41","5,42M","-1,20%"
"14.10.2016","44,13","43,53","44,55","43,53","6,22M","1,68%"
"13.10.2016","43,40","43,50","43,51","42,91","5,85M","-0,69%"
"12.10.2016","43,70","43,42","43,99","43,20","5,52M","0,83%"
"11.10.2016","43,34","43,70","44,23","43,34","4,96M","-0,98%"
"10.10.2016","43,77","42,93","43,80","42,66","5,50M","1,96%"
"07.10.2016","42,93","43,01","43,40","42,56","6,21M","-0,28%"
"06.10.2016","43,05","43,25","43,29","42,77","4,82M","-0,05%"
"05.10.2016","43,07","42,59","43,20","42,34","5,93M","-0,09%"
"04.10.2016","43,11","42,40","43,23","42,32","5,84M","1,84%"
"03.10.2016","42,33","42,25","42,82","42,16","4,14M","0,38%"
"30.09.2016","42,17","42,03","42,48","41,53","7,67M","-1,17%"
"29.09.2016","42,67","42,98","43,12","42,46","7,93M","4,15%"
"28.09.2016","40,97","41,00","41,39","40,84","4,40M","0,49%"
