"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2016","1.228,50","1.225,00","1.239,00","1.222,50","43,33K","0,29%"
"29.12.2016","1.225,00","1.232,50","1.234,00","1.215,50","34,49K","-0,81%"
"28.12.2016","1.235,00","1.251,50","1.251,50","1.231,50","32,72K","-0,96%"
"27.12.2016","1.247,00","1.250,00","1.257,00","1.217,00","25,88K","0,16%"
"26.12.2016","1.245,00","1.255,00","1.265,00","1.234,00","32,78K","-1,07%"
"23.12.2016","1.258,50","1.293,50","1.298,00","1.251,00","46,39K","-2,37%"
"22.12.2016","1.289,00","1.291,00","1.297,00","1.271,00","20,37K","-0,23%"
"21.12.2016","1.292,00","1.301,00","1.323,00","1.275,00","78,23K","-2,71%"
"20.12.2016","1.328,00","1.340,00","1.344,00","1.321,00","17,95K","-0,49%"
"19.12.2016","1.334,50","1.358,50","1.358,50","1.327,50","24,91K","-1,15%"
"16.12.2016","1.350,00","1.348,50","1.372,00","1.348,50","41,78K","0,11%"
"15.12.2016","1.348,50","1.330,00","1.350,00","1.328,00","51,47K","1,09%"
"14.12.2016","1.334,00","1.340,00","1.341,00","1.322,00","19,61K","0,38%"
"13.12.2016","1.329,00","1.336,00","1.341,50","1.327,50","32,61K","-0,52%"
"12.12.2016","1.336,00","1.338,00","1.350,00","1.322,00","49,16K","-0,11%"
"09.12.2016","1.337,50","1.348,50","1.353,00","1.335,00","26,41K","-0,85%"
"08.12.2016","1.349,00","1.358,50","1.368,50","1.331,50","49,34K","-0,15%"
"07.12.2016","1.351,00","1.369,00","1.377,00","1.351,00","24,67K","-1,03%"
"06.12.2016","1.365,00","1.390,00","1.390,00","1.357,00","33,88K","-1,66%"
"05.12.2016","1.388,00","1.396,00","1.400,00","1.371,50","19,43K","-0,04%"
"02.12.2016","1.388,50","1.382,00","1.410,00","1.382,00","23,64K","-0,29%"
"01.12.2016","1.392,50","1.391,50","1.407,50","1.109,50","39,43K","0,91%"
"30.11.2016","1.380,00","1.396,50","1.417,00","1.380,00","37,36K","-1,08%"
"29.11.2016","1.395,00","1.377,00","1.450,00","1.377,00","42,71K","1,45%"
"28.11.2016","1.375,00","1.373,00","1.399,50","1.352,00","39,66K","0,18%"
"25.11.2016","1.372,50","1.363,50","1.400,00","1.363,50","17,07K","0,55%"
"24.11.2016","1.365,00","1.377,00","1.384,50","1.340,50","28,07K","-1,12%"
"23.11.2016","1.380,50","1.389,00","1.400,00","1.367,50","38,73K","0,04%"
"22.11.2016","1.380,00","1.289,50","1.385,00","1.268,50","155,67K","7,31%"
"21.11.2016","1.286,00","1.315,00","1.318,50","1.277,00","72,27K","-1,83%"
"18.11.2016","1.310,00","1.325,00","1.329,00","1.305,50","54,55K","-1,13%"
"17.11.2016","1.325,00","1.371,00","1.375,50","1.310,50","83,25K","-3,32%"
"16.11.2016","1.370,50","1.394,00","1.397,50","1.370,50","54,39K","-1,05%"
"15.11.2016","1.385,00","1.380,00","1.417,00","1.380,00","62,82K","0,00%"
"14.11.2016","1.385,00","1.420,00","1.429,50","1.384,00","59,84K","-2,67%"
"11.11.2016","1.423,00","1.450,50","1.450,50","1.406,00","43,24K","-1,86%"
"10.11.2016","1.450,00","1.406,50","1.472,00","1.406,50","65,48K","2,47%"
"09.11.2016","1.415,00","1.380,00","1.424,00","1.380,00","32,23K","0,39%"
"08.11.2016","1.409,50","1.399,50","1.437,00","1.393,50","44,48K","1,04%"
"07.11.2016","1.395,00","1.431,50","1.431,50","1.390,00","54,87K","-1,83%"
"03.11.2016","1.421,00","1.449,00","1.449,00","1.417,50","20,92K","-1,63%"
"02.11.2016","1.444,50","1.457,50","1.474,00","1.430,50","19,41K","-1,06%"
"01.11.2016","1.460,00","1.481,50","1.484,00","1.456,50","25,11K","-1,35%"
"31.10.2016","1.480,00","1.507,00","1.530,00","1.446,50","88,40K","-1,14%"
"28.10.2016","1.497,00","1.485,00","1.537,00","1.460,00","267,10K","1,84%"
"27.10.2016","1.470,00","1.423,50","1.481,50","1.412,00","74,78K","3,19%"
"26.10.2016","1.424,50","1.440,00","1.445,50","1.399,50","40,04K","-1,11%"
"25.10.2016","1.440,50","1.450,00","1.470,50","1.433,00","56,99K","-0,83%"
"24.10.2016","1.452,50","1.460,00","1.493,50","1.445,00","29,73K","-0,85%"
"21.10.2016","1.465,00","1.450,00","1.498,00","1.449,00","56,01K","-0,20%"
"20.10.2016","1.468,00","1.397,50","1.529,50","1.393,00","195,28K","4,86%"
"19.10.2016","1.400,00","1.410,00","1.423,50","1.385,50","35,78K","-0,99%"
"18.10.2016","1.414,00","1.422,00","1.433,50","1.404,00","37,99K","-0,81%"
"17.10.2016","1.425,50","1.414,50","1.445,00","1.387,50","38,60K","1,10%"
"14.10.2016","1.410,00","1.465,00","1.475,00","1.360,00","245,87K","-4,41%"
"13.10.2016","1.475,00","1.509,00","1.531,00","1.472,00","115,01K","-1,34%"
"12.10.2016","1.495,00","1.486,50","1.519,00","1.466,00","78,57K","0,57%"
"11.10.2016","1.486,50","1.550,00","1.553,50","1.433,00","248,36K","-3,94%"
"10.10.2016","1.547,50","1.570,00","1.580,50","1.528,50","41,67K","-1,59%"
"07.10.2016","1.572,50","1.675,00","1.687,50","1.542,50","106,56K","-5,84%"
"06.10.2016","1.670,00","1.780,50","1.815,00","1.658,00","86,71K","-6,70%"
"05.10.2016","1.790,00","1.810,00","1.821,00","1.781,50","19,77K","-1,70%"
"04.10.2016","1.821,00","1.869,00","1.874,50","1.809,50","12,92K","-1,49%"
"03.10.2016","1.848,50","1.906,00","1.985,00","1.839,50","52,36K","-1,10%"
"30.09.2016","1.869,00","1.840,00","1.877,00","1.833,50","15,65K","1,05%"
"29.09.2016","1.849,50","1.851,50","1.853,50","1.844,00","2,49K","-0,03%"
"28.09.2016","1.850,00","1.859,50","1.859,50","1.842,00","5,94K","-0,27%"
"27.09.2016","1.855,00","1.856,00","1.860,00","1.835,50","2,05K","-0,13%"
"26.09.2016","1.857,50","1.850,00","1.870,00","1.844,50","14,92K","-0,24%"
"23.09.2016","1.862,00","1.860,00","1.876,50","1.859,50","14,34K","0,00%"
"22.09.2016","1.862,00","1.850,00","1.874,00","1.833,50","15,20K","1,47%"
"21.09.2016","1.835,00","1.845,50","1.860,00","1.835,00","9,55K","-0,41%"
"20.09.2016","1.842,50","1.847,50","1.854,00","1.827,00","5,16K","-0,51%"
"19.09.2016","1.852,00","1.830,00","1.860,00","1.830,00","4,40K","1,20%"
"16.09.2016","1.830,00","1.842,00","1.856,50","1.829,50","6,96K","-0,97%"
"15.09.2016","1.848,00","1.850,00","1.877,00","1.838,00","14,95K","-0,73%"
"14.09.2016","1.861,50","1.856,00","1.893,00","1.833,00","16,34K","0,46%"
"13.09.2016","1.853,00","1.914,00","1.934,50","1.834,50","23,24K","-2,70%"
"12.09.2016","1.904,50","1.941,00","1.951,00","1.902,50","19,48K","-2,86%"
"09.09.2016","1.960,50","1.958,00","1.962,50","1.940,50","5,40K","-0,10%"
"08.09.2016","1.962,50","1.955,50","1.966,00","1.940,00","74,87K","0,49%"
"07.09.2016","1.953,00","1.963,00","1.964,50","1.946,00","14,78K","0,15%"
"06.09.2016","1.950,00","1.937,50","1.960,00","1.937,50","16,55K","0,00%"
"05.09.2016","1.950,00","1.952,00","1.952,50","1.927,50","31,26K","-0,15%"
"02.09.2016","1.953,00","1.939,00","1.960,00","1.914,00","40,17K","0,77%"
"01.09.2016","1.938,00","1.951,50","1.960,00","1.923,50","15,04K","-1,20%"
"31.08.2016","1.961,50","1.959,50","1.995,50","1.953,50","22,32K","0,00%"
"30.08.2016","1.961,50","1.938,00","1.963,00","1.932,00","8,90K","0,74%"
"29.08.2016","1.947,00","1.892,50","1.988,50","1.885,50","17,25K","2,47%"
"26.08.2016","1.900,00","1.917,00","1.919,00","1.897,00","5,05K","0,08%"
"25.08.2016","1.898,50","1.928,00","1.928,00","1.898,50","7,53K","-0,84%"
"24.08.2016","1.914,50","1.906,50","1.924,00","1.900,00","18,40K","0,42%"
"23.08.2016","1.906,50","1.932,50","1.935,50","1.901,50","3,18K","-0,60%"
"22.08.2016","1.918,00","1.912,50","1.920,00","1.901,00","23,85K","0,42%"
"19.08.2016","1.910,00","1.903,50","1.928,50","1.894,50","5,78K","0,00%"
"18.08.2016","1.910,00","1.939,50","1.966,00","1.910,00","21,49K","-0,55%"
"17.08.2016","1.920,50","1.900,00","1.947,00","1.832,50","77,74K","-2,29%"
"16.08.2016","1.965,50","1.999,00","2.010,00","1.961,50","16,11K","-2,07%"
"15.08.2016","2.007,00","1.987,50","2.010,00","1.970,50","8,98K","0,25%"
"12.08.2016","2.002,00","1.996,50","2.005,00","1.992,00","8,88K","0,28%"
"11.08.2016","1.996,50","1.960,50","2.000,00","1.957,50","18,56K","1,35%"
"10.08.2016","1.970,00","1.945,00","1.983,00","1.945,00","18,80K","1,29%"
"09.08.2016","1.945,00","1.937,00","1.954,50","1.928,00","12,28K","0,26%"
"08.08.2016","1.940,00","1.921,00","1.944,00","1.893,50","22,40K","0,26%"
"05.08.2016","1.935,00","1.930,00","1.953,00","1.915,00","31,11K","0,78%"
"04.08.2016","1.920,00","1.862,00","1.964,00","1.828,00","65,60K","2,98%"
"03.08.2016","1.864,50","1.899,00","1.912,00","1.860,50","21,20K","-1,30%"
"02.08.2016","1.889,00","1.915,50","1.934,50","1.760,00","13,72K","-1,15%"
"01.08.2016","1.911,00","1.887,50","1.938,00","1.880,50","68,44K","1,65%"
"29.07.2016","1.880,00","1.899,00","1.911,50","1.875,00","74,84K","0,27%"
"28.07.2016","1.875,00","1.910,00","1.920,00","1.875,00","32,87K","-0,13%"
"27.07.2016","1.877,50","1.848,00","1.904,50","1.842,00","37,54K","1,76%"
"26.07.2016","1.845,00","1.860,00","1.863,00","1.831,00","17,14K","-0,54%"
"25.07.2016","1.855,00","1.860,50","1.861,00","1.843,00","16,72K","-0,54%"
"22.07.2016","1.865,00","1.842,00","1.875,00","1.830,00","33,59K","1,25%"
"21.07.2016","1.842,00","1.838,00","1.857,00","1.829,00","22,90K","0,74%"
"20.07.2016","1.828,50","1.841,50","1.861,00","1.815,00","75,68K","0,00%"
"19.07.2016","1.828,50","1.846,50","1.870,00","1.793,50","35,07K","-1,48%"
"18.07.2016","1.856,00","1.850,00","1.858,00","1.821,00","30,89K","-0,03%"
"15.07.2016","1.856,50","1.860,00","1.867,00","1.845,00","27,96K","0,13%"
"14.07.2016","1.854,00","1.918,50","1.920,00","1.852,50","77,17K","-8,65%"
"13.07.2016","2.029,50","1.989,00","2.042,50","1.970,50","97,12K","2,04%"
"12.07.2016","1.989,00","2.010,00","2.050,00","1.980,00","52,13K","-1,00%"
"11.07.2016","2.009,00","1.912,50","2.027,00","1.912,50","39,64K","5,18%"
"08.07.2016","1.910,00","1.912,00","1.936,00","1.882,00","51,02K","0,00%"
"07.07.2016","1.910,00","1.906,50","1.926,00","1.905,00","40,55K","0,58%"
"06.07.2016","1.899,00","1.903,00","1.914,50","1.897,50","48,95K","0,00%"
"05.07.2016","1.899,00","1.910,00","1.920,00","1.880,00","10,55K","-0,37%"
"04.07.2016","1.906,00","1.918,00","1.931,50","1.900,00","7,14K","0,32%"
"01.07.2016","1.900,00","1.886,50","1.919,50","1.886,50","3,92K","-0,08%"
"30.06.2016","1.901,50","1.906,00","1.913,00","1.897,00","14,82K","0,08%"
"29.06.2016","1.900,00","1.868,00","1.908,00","1.865,50","9,33K","1,82%"
"28.06.2016","1.866,00","1.859,00","1.879,00","1.845,00","6,74K","1,14%"
