"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2016","427,00","420,00","427,20","415,15","1,30M","1,57%"
"29.12.2016","420,40","410,30","421,75","405,10","1,11M","2,46%"
"28.12.2016","410,30","403,05","417,25","401,65","1,60M","1,82%"
"27.12.2016","402,95","397,55","403,20","396,25","325,64K","1,36%"
"26.12.2016","397,55","392,35","400,55","392,35","270,87K","0,73%"
"23.12.2016","394,65","397,40","406,85","391,90","903,57K","-1,30%"
"22.12.2016","399,85","410,00","410,00","395,40","992,65K","-2,70%"
"21.12.2016","410,95","409,90","413,30","405,65","1,13M","0,23%"
"20.12.2016","410,00","399,15","410,40","396,50","892,79K","2,81%"
"19.12.2016","398,80","405,00","406,00","398,80","906,72K","-1,13%"
"16.12.2016","403,35","405,50","408,55","397,00","3,27M","-0,41%"
"15.12.2016","405,00","393,30","407,80","387,80","3,43M","2,53%"
"14.12.2016","395,00","407,40","409,95","385,00","2,31M","-2,70%"
"13.12.2016","405,95","394,00","406,45","390,20","2,18M","3,03%"
"12.12.2016","394,00","422,40","427,65","388,70","3,57M","-5,58%"
"09.12.2016","417,30","419,85","423,00","412,80","1,09M","-0,12%"
"08.12.2016","417,80","422,25","425,85","415,25","1,75M","-1,35%"
"07.12.2016","423,50","420,25","425,90","416,25","1,69M","0,13%"
"06.12.2016","422,95","414,80","426,40","411,20","2,12M","2,24%"
"05.12.2016","413,70","398,85","416,50","395,20","2,16M","4,00%"
"02.12.2016","397,80","396,50","402,30","393,10","1,43M","-0,18%"
"01.12.2016","398,50","391,30","401,65","390,65","1,67M","2,63%"
"30.11.2016","388,30","385,85","397,55","383,20","3,11M","1,12%"
"29.11.2016","384,00","388,85","391,10","383,50","1,16M","-1,79%"
"28.11.2016","391,00","385,00","392,80","383,10","473,62K","1,27%"
"25.11.2016","386,10","389,60","391,80","384,50","496,69K","-0,90%"
"24.11.2016","389,60","392,35","397,65","389,60","1,12M","-0,71%"
"23.11.2016","392,40","385,50","392,45","385,05","1,15M","1,70%"
"22.11.2016","385,85","398,00","398,55","385,10","1,33M","-3,05%"
"21.11.2016","398,00","390,00","398,80","383,10","2,11M","2,90%"
"18.11.2016","386,80","396,55","404,80","385,50","1,71M","-3,19%"
"17.11.2016","399,55","380,20","400,30","380,20","2,02M","4,61%"
"16.11.2016","381,95","365,50","383,90","364,80","2,08M","5,02%"
"15.11.2016","363,70","362,75","371,95","355,20","2,32M","0,75%"
